"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 08:19:02 GMT 2022","Fri Oct 28 08:19:06 GMT 2022","3713","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Products menu is available","Verify that Products menu is available",""
"passed","Fri Oct 28 08:18:19 GMT 2022","Fri Oct 28 08:18:20 GMT 2022","1829","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Support Center link is available for users","Verify Support Center link is available for users",""
"passed","Fri Oct 28 08:19:54 GMT 2022","Fri Oct 28 08:19:59 GMT 2022","5384","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that SMS API link is available in the Products drop menu","Verify that SMS API link is available in the Products drop menu",""
"passed","Fri Oct 28 08:18:32 GMT 2022","Fri Oct 28 08:18:34 GMT 2022","1573","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Company menu is available","Verify that Company menu is available",""
"passed","Fri Oct 28 08:21:08 GMT 2022","Fri Oct 28 08:21:13 GMT 2022","4706","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Fax link is available in the Products drop menu","Verify that Fax link is available in the Products drop menu",""
"passed","Fri Oct 28 08:18:38 GMT 2022","Fri Oct 28 08:18:40 GMT 2022","1548","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Twitter link is available for users","Verify that Follow on Twitter link is available for users",""
"passed","Fri Oct 28 08:20:00 GMT 2022","Fri Oct 28 08:20:09 GMT 2022","9244","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty password field","Verify log in with empty password field",""
"passed","Fri Oct 28 08:18:28 GMT 2022","Fri Oct 28 08:18:31 GMT 2022","2201","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Resources menu is available","Verify that Resources menu is available",""
"passed","Fri Oct 28 08:19:14 GMT 2022","Fri Oct 28 08:19:16 GMT 2022","2100","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Mission Control menu is available","Verify that Mission Control menu is available",""
"passed","Fri Oct 28 08:20:57 GMT 2022","Fri Oct 28 08:21:03 GMT 2022","6336","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Voice API link and Calculate your savings are available in the Products drop menu","Verify that Voice API link and Calculate your savings are available in the Products drop menu",""
"passed","Fri Oct 28 08:19:48 GMT 2022","Fri Oct 28 08:20:00 GMT 2022","12021","","Login form for telnyx page","","Login form for telnyx page","Verify the forgot password function","Verify the forgot password function",""
"passed","Fri Oct 28 08:19:41 GMT 2022","Fri Oct 28 08:19:47 GMT 2022","6597","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu",""
"failed","Fri Oct 28 08:18:30 GMT 2022","Fri Oct 28 08:18:54 GMT 2022","23516","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Talk to an expert button is available for users","Verify Talk to an expert button is available for users",""
"passed","Fri Oct 28 08:19:11 GMT 2022","Fri Oct 28 08:19:14 GMT 2022","3051","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Company menu is available","Verify that Company menu is available",""
"passed","Fri Oct 28 08:19:27 GMT 2022","Fri Oct 28 08:19:30 GMT 2022","3048","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Facebook link is available for users","Verify that Follow on Facebook link is available for users",""
"passed","Fri Oct 28 08:19:06 GMT 2022","Fri Oct 28 08:19:08 GMT 2022","1958","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Resources menu is available","Verify that Resources menu is available",""
"passed","Fri Oct 28 08:18:36 GMT 2022","Fri Oct 28 08:18:38 GMT 2022","1950","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Connect on LinkedIn link is available for users","Verify that Connect on LinkedIn link is available for users",""
"passed","Fri Oct 28 08:18:50 GMT 2022","Fri Oct 28 08:18:56 GMT 2022","5956","","Login form for telnyx page","","Login form for telnyx page","Verify the forgot password function","Verify the forgot password function",""
"passed","Fri Oct 28 08:20:51 GMT 2022","Fri Oct 28 08:20:57 GMT 2022","6172","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu","Verify that Elastic SIP Trunking link and Download SIP Trunking pricing are available in the Products drop menu",""
"passed","Fri Oct 28 08:18:34 GMT 2022","Fri Oct 28 08:18:35 GMT 2022","1496","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Mission Control menu is available","Verify that Mission Control menu is available",""
"passed","Fri Oct 28 08:18:56 GMT 2022","Fri Oct 28 08:19:00 GMT 2022","3788","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty password field","Verify log in with empty password field",""
"passed","Fri Oct 28 08:19:21 GMT 2022","Fri Oct 28 08:19:24 GMT 2022","2809","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Connect on LinkedIn link is available for users","Verify that Connect on LinkedIn link is available for users",""
"passed","Fri Oct 28 08:19:00 GMT 2022","Fri Oct 28 08:19:07 GMT 2022","7128","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty email field","Verify log in with empty email field",""
"passed","Fri Oct 28 08:21:03 GMT 2022","Fri Oct 28 08:21:08 GMT 2022","4479","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that SMS API link is available in the Products drop menu","Verify that SMS API link is available in the Products drop menu",""
"passed","Fri Oct 28 08:18:40 GMT 2022","Fri Oct 28 08:18:42 GMT 2022","2087","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Facebook link is available for users","Verify that Follow on Facebook link is available for users",""
"failed","Fri Oct 28 08:20:15 GMT 2022","Fri Oct 28 08:20:43 GMT 2022","27763","","Login form for telnyx page","","Login form for telnyx page","Verify log in with correct credentials","Verify log in with correct credentials",""
"passed","Fri Oct 28 08:19:08 GMT 2022","Fri Oct 28 08:19:11 GMT 2022","2782","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Pricing menu is available","Verify that Pricing menu is available",""
"passed","Fri Oct 28 08:18:31 GMT 2022","Fri Oct 28 08:18:32 GMT 2022","1528","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Pricing menu is available","Verify that Pricing menu is available",""
"passed","Fri Oct 28 08:18:26 GMT 2022","Fri Oct 28 08:18:30 GMT 2022","3999","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Support Center link is available for users","Verify Support Center link is available for users",""
"failed","Fri Oct 28 08:19:07 GMT 2022","Fri Oct 28 08:19:39 GMT 2022","31736","","Login form for telnyx page","","Login form for telnyx page","Verify log in with correct credentials","Verify log in with correct credentials",""
"passed","Fri Oct 28 08:18:16 GMT 2022","Fri Oct 28 08:18:19 GMT 2022","2658","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify that Call us button is available for users","Verify that Call us button is available for users",""
"passed","Fri Oct 28 08:19:59 GMT 2022","Fri Oct 28 08:20:05 GMT 2022","6024","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Fax link is available in the Products drop menu","Verify that Fax link is available in the Products drop menu",""
"passed","Fri Oct 28 08:18:23 GMT 2022","Fri Oct 28 08:18:26 GMT 2022","3600","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify that Call us button is available for users","Verify that Call us button is available for users",""
"passed","Fri Oct 28 08:19:47 GMT 2022","Fri Oct 28 08:19:54 GMT 2022","6681","","Verify the Pricing drop menu on the header page","","Verify the Pricing drop menu on the header page","Verify that Voice API link and Calculate your savings are available in the Products drop menu","Verify that Voice API link and Calculate your savings are available in the Products drop menu",""
"passed","Fri Oct 28 08:20:09 GMT 2022","Fri Oct 28 08:20:15 GMT 2022","5803","","Login form for telnyx page","","Login form for telnyx page","Verify log in with empty email field","Verify log in with empty email field",""
"passed","Fri Oct 28 08:19:24 GMT 2022","Fri Oct 28 08:19:27 GMT 2022","2717","","Verify that Telnyx page social links are available for users","","Verify that Telnyx page social links are available for users","Verify that Follow on Twitter link is available for users","Verify that Follow on Twitter link is available for users",""
"passed","Fri Oct 28 08:18:20 GMT 2022","Fri Oct 28 08:18:24 GMT 2022","3166","","Verify that Telnyx page contact forms are available for users","","Verify that Telnyx page contact forms are available for users","Verify Talk to an expert button is available for users","Verify Talk to an expert button is available for users",""
"passed","Fri Oct 28 08:18:43 GMT 2022","Fri Oct 28 08:18:50 GMT 2022","7155","","Login form for telnyx page","","Login form for telnyx page","Verify log in with wrong credentials","Verify log in with wrong credentials",""
"passed","Fri Oct 28 08:18:25 GMT 2022","Fri Oct 28 08:18:28 GMT 2022","3072","","Verify the menu on the footer page","","Verify the menu on the footer page","Verify that Products menu is available","Verify that Products menu is available",""
"passed","Fri Oct 28 08:19:36 GMT 2022","Fri Oct 28 08:19:48 GMT 2022","12269","","Login form for telnyx page","","Login form for telnyx page","Verify log in with wrong credentials","Verify log in with wrong credentials",""
